CountyFIPS,DataCategory,DataType,HUC,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
49001,DETAIL,ALLOCATION,160203020303,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020304,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020401,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49021,DETAIL,ALLOCATION,160203010101,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49021,DETAIL,ALLOCATION,160203010102,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49021,DETAIL,ALLOCATION,160203010103,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49021,DETAIL,ALLOCATION,160203010104,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49021,DETAIL,ALLOCATION,160203020101,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203010503,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203010608,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203010702,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203010704,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203010806,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203010901,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203010905,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203010906,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203010907,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011001,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011002,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011003,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011103,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011104,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011105,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011106,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011108,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011109,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011203,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011204,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203011304,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203020303,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203020402,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203020403,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030101,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030203,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030208,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030210,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030211,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030301,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030401,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030403,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030502,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203030503,,UTDWRT,2016,00-03-02,Tule Valley,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203050101,,UTDWRT,2016,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203050102,,UTDWRT,2016,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203050103,,UTDWRT,2016,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203050104,,UTDWRT,2016,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203050201,,UTDWRT,2016,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203050202,,UTDWRT,2016,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203050302,,UTDWRT,2016,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203050401,,UTDWRT,2016,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203050402,,UTDWRT,2016,00-04-00,Skull Valley,46,http://www.water.utah.gov/DWRT
