CountFIPS,DataCategory,DataType,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
35017,SUMMARY,USE,,NMOSE,2010,35017,Grant,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2000,AWR,Arkansas-White-Red Region,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,1990,AWR,Arkansas-White-Red Region,35,http://www.westernstateswater.org/NewMexico
35005,SUMMARY,USE,,NMOSE,2010,35005,Chaves,35,http://www.westernstateswater.org/NewMexico
35033,SUMMARY,USE,,NMOSE,1995,35033,Mora,35,http://www.westernstateswater.org/NewMexico
35021,SUMMARY,USE,,NMOSE,2010,35021,Harding,35,http://www.westernstateswater.org/NewMexico
35015,SUMMARY,USE,,NMOSE,2000,35015,Eddy,35,http://www.westernstateswater.org/NewMexico
35015,SUMMARY,USE,,NMOSE,1990,35015,Eddy,35,http://www.westernstateswater.org/NewMexico
35019,SUMMARY,USE,,NMOSE,1990,35019,Guadalupe,35,http://www.westernstateswater.org/NewMexico
35019,SUMMARY,USE,,NMOSE,2000,35019,Guadalupe,35,http://www.westernstateswater.org/NewMexico
35003,SUMMARY,USE,,NMOSE,1995,35003,Catron,35,http://www.westernstateswater.org/NewMexico
35029,SUMMARY,USE,,NMOSE,1995,35029,Luna,35,http://www.westernstateswater.org/NewMexico
35011,SUMMARY,USE,,NMOSE,2005,35011,De Baca,35,http://www.westernstateswater.org/NewMexico
35027,SUMMARY,USE,,NMOSE,1995,35027,Lincoln,35,http://www.westernstateswater.org/NewMexico
35059,SUMMARY,USE,,NMOSE,2010,35059,Union,35,http://www.westernstateswater.org/NewMexico
35039,SUMMARY,USE,,NMOSE,2005,35039,Rio Arriba,35,http://www.westernstateswater.org/NewMexico
35035,SUMMARY,USE,,NMOSE,2005,35035,Otero,35,http://www.westernstateswater.org/NewMexico
35053,SUMMARY,USE,,NMOSE,2005,35053,Socorro,35,http://www.westernstateswater.org/NewMexico
35037,SUMMARY,USE,,NMOSE,2005,35037,Quay,35,http://www.westernstateswater.org/NewMexico
35061,SUMMARY,USE,,NMOSE,2010,35061,Valencia,35,http://www.westernstateswater.org/NewMexico
35055,SUMMARY,USE,,NMOSE,2010,35055,Taos,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,1990,P,Pecos Region,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2000,P,Pecos Region,35,http://www.westernstateswater.org/NewMexico
35006,SUMMARY,USE,,NMOSE,2005,35006,Cibola,35,http://www.westernstateswater.org/NewMexico
35031,SUMMARY,USE,,NMOSE,2000,35031,McKinley,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2010,RG,Rio Grande Region,35,http://www.westernstateswater.org/NewMexico
35031,SUMMARY,USE,,NMOSE,1990,35031,McKinley,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2010,UC,Upper Colorado Region,35,http://www.westernstateswater.org/NewMexico
